dihedral,k,d,n,comments
h1-c1-cp-np,70,1,1,
o_1-c_0-c_0-nb,30,-1,2,
cpa-nb-c_0-c_0,30,-1,2,
nb-c_0-c_0-nb,30,-1,2,
cpa-cp-cpa-nb,30,-1,2,
cp-cpa-nb-c_0,30,-1,2,
c_0-nb-cpa-cp,30,-1,2,
nb-cpa-cp-hc,3,-1,2,
c2-cp-cp-cp,70,1,1,
nb-c_0-c_0-c_0,30,-1,2,
cpa-cp-cpa-cpa,30,-1,2,
cp-cpa-cpa-nb,30,-1,2,
hc-c2-cp-cp,3,-1,3,
c_0-c_0-c_0-c_0,30,-1,2,
cpa-cpa-cp-cpa,30,-1,2,
cpp-cpp-cp-cp,30,-1,2,
cp-c1-cp-np,70,1,1,
nb-cpa-cpa-nb,30,-1,2,
o_1-c_0-c_0-o_1,30,-1,2,
hc-cpa-cpa-nb,30,-1,2,
c_0-nb-cpa-cpa,70,-1,2,
c_0-c_0-c_0-o_1,30,-1,2,
c_0-c_0-c_0-nb,30,-1,2,
c2-cp-cp-c2,70,-1,1,
c-cp-cp-c,500,-1,1,
cp-cpa-nb-hn,3,-1,2,
cp-cp-cp-hc,30,-1,2,
cp-cp-c2-hc,3,-1,3,
np-cp-c1-h1,70,1,1,
cpa-cpa-cp-hc,3,-1,2,
cp-cp-cp-cp,30,-1,2,
h-c-c-h,70,1,1,
cp-c2-cp-cp,70,-1,1,
cp-cpa-cpa-cp,30,-1,2,
cp-cpp-cpp-cp,30,-1,2,
nb-c_0-c_0-o_1,30,-1,2,
c_0-c_0-nb-cpa,30,-1,2,
cpa-cpa-nb-hn,3,-1,2,
c1-cp-np-cp,70,1,1,
cpp-cpp-cp-hc,30,-1,2,
cp-cp-c2-cp,70,-1,1,
np-cp-c1-cp,70,1,1,
c2-cp-cp-hc,70,-1,1,
cpp-cpp-cp-cpp,30,-1,2,
cpa-cpa-nb-c_0,30,-1,2,
